movieId,title,genres,imdb_url
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,https://www.imdb.com/title/tt0114709/
2,Jumanji (1995),Adventure|Children|Fantasy,https://www.imdb.com/title/tt0113497/
3,Grumpier Old Men (1995),Comedy|Romance,https://www.imdb.com/title/tt0113228/
4,Waiting to Exhale (1995),Comedy|Drama|Romance,https://www.imdb.com/title/tt0114885/
5,Father of the Bride Part II (1995),Comedy,https://www.imdb.com/title/tt0113041/
6,Heat (1995),Action|Crime|Thriller,https://www.imdb.com/title/tt0113277/
7,Sabrina (1995),Comedy|Romance,https://www.imdb.com/title/tt0114319/
8,Tom and Huck (1995),Adventure|Children,https://www.imdb.com/title/tt0112302/
9,Sudden Death (1995),Action,https://www.imdb.com/title/tt0114576/
10,GoldenEye (1995),Action|Adventure|Thriller,https://www.imdb.com/title/tt0113189/
11,"American President, The (1995)",Comedy|Drama|Romance,https://www.imdb.com/title/tt0112346/
12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://www.imdb.com/title/tt0112896/
13,Balto (1995),Adventure|Animation|Children,https://www.imdb.com/title/tt0112453/
14,Nixon (1995),Drama,https://www.imdb.com/title/tt0113987/
15,Cutthroat Island (1995),Action|Adventure|Romance,https://www.imdb.com/title/tt0112760/
16,Casino (1995),Crime|Drama,https://www.imdb.com/title/tt0112641/
17,Sense and Sensibility (1995),Drama|Romance,https://www.imdb.com/title/tt0114388/
18,Four Rooms (1995),Comedy,https://www.imdb.com/title/tt0113101/
19,Ace Ventura: When Nature Calls (1995),Comedy,https://www.imdb.com/title/tt0112281/
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,https://www.imdb.com/title/tt0113845/
21,Get Shorty (1995),Comedy|Crime|Thriller,https://www.imdb.com/title/tt0113161/
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,https://www.imdb.com/title/tt0112722/
23,Assassins (1995),Action|Crime|Thriller,https://www.imdb.com/title/tt0112401/
24,Powder (1995),Drama|Sci-Fi,https://www.imdb.com/title/tt0114168/
25,Leaving Las Vegas (1995),Drama|Romance,https://www.imdb.com/title/tt0113627/
26,Othello (1995),Drama,https://www.imdb.com/title/tt0114057/
27,Now and Then (1995),Children|Drama,https://www.imdb.com/title/tt0114011/
28,Persuasion (1995),Drama|Romance,https://www.imdb.com/title/tt0114117/
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://www.imdb.com/title/tt0112682/
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,https://www.imdb.com/title/tt0115012/
31,Dangerous Minds (1995),Drama,https://www.imdb.com/title/tt0112792/
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,https://www.imdb.com/title/tt0114746/
33,Wings of Courage (1995),Adventure|Romance|IMAX,https://www.imdb.com/title/tt0114952/
34,Babe (1995),Children|Drama,https://www.imdb.com/title/tt0112431/
35,Carrington (1995),Drama|Romance,https://www.imdb.com/title/tt0112637/
36,Dead Man Walking (1995),Crime|Drama,https://www.imdb.com/title/tt0112818/
37,Across the Sea of Time (1995),Documentary|IMAX,https://www.imdb.com/title/tt0112286/
38,It Takes Two (1995),Children|Comedy,https://www.imdb.com/title/tt0113442/
39,Clueless (1995),Comedy|Romance,https://www.imdb.com/title/tt0112697/
40,"Cry, the Beloved Country (1995)",Drama,https://www.imdb.com/title/tt0112749/
41,Richard III (1995),Drama|War,https://www.imdb.com/title/tt0114279/
42,Dead Presidents (1995),Action|Crime|Drama,https://www.imdb.com/title/tt0112819/
43,Restoration (1995),Drama,https://www.imdb.com/title/tt0114272/
44,Mortal Kombat (1995),Action|Adventure|Fantasy,https://www.imdb.com/title/tt0113855/
